id,context,repetition,prompt_tokens,generated_tokens,ttft_s,completion_s,prompt_tps,decode_tps,rss_peak_bytes,rss_sample_peak_bytes,kv_MiB,metal_model_MiB,metal_compute_MiB,baseline_compressed_bytes,compressed_peak_delta_bytes,baseline_swap_bytes,swap_peak_delta_bytes,pageouts_delta_bytes,swapouts_delta_bytes,startup_s
trial-01-ctx-2048-rep-1,2048,1,1792,128,11.845196457999918,20.14054699999997,151.314928416724,15.309937017089025,5467193344,5467095040,288.0,4789.19,32.78,1367474176,-1015808,0,0,0,0,0.6354831250000643
trial-02-ctx-4096-rep-1,4096,1,3840,128,27.5362620410001,36.418040625,139.4650650363007,14.29921409492674,5770395648,5770215424,576.0,4789.19,41.28,1365164032,-507904,0,0,0,0,0.6390196249999462
trial-03-ctx-8192-rep-1,8192,1,7936,128,70.72398124999995,85.69929054099998,112.21719139657266,8.481803859287542,6376570880,6376210432,1152.0,4789.19,58.29,1352859648,-114688,0,0,0,0,0.7399827920000916
trial-04-ctx-8192-rep-2,8192,2,7936,128,97.16025741699991,119.48042533399985,81.68327491304889,5.690350652849001,6376194048,6375866368,1152.0,4789.19,58.29,1350254592,-2441216,0,0,0,0,0.760050000000092
trial-05-ctx-2048-rep-2,2048,2,1792,128,22.36972387500009,35.561026458000015,80.115656248934,9.627931250202794,5467275264,5467193344,288.0,4789.19,32.78,1315323904,-98304,0,0,0,0,0.6554815829999825
trial-06-ctx-4096-rep-2,4096,2,3840,128,39.12299295799994,52.01622454099993,98.15895467461701,9.850702901947267,5771132928,5771034624,576.0,4789.19,41.28,1288208384,-245760,0,0,0,0,0.7615370830001211
trial-07-ctx-4096-rep-3,4096,3,3840,128,47.73886137499994,62.04824137500009,80.44227666474507,8.875676787826876,5766512640,5766479872,576.0,4789.19,41.28,1284603904,307724288,0,0,2949120,0,0.7563910419999047
trial-08-ctx-8192-rep-3,8192,3,7936,128,87.07359454100015,104.83153224999978,91.1457465969077,7.152119902418052,6377029632,6376652800,1152.0,4789.19,58.29,1487273984,99500032,0,0,2490368,0,0.7716011659999822
trial-09-ctx-2048-rep-3,2048,3,1792,128,14.71097325000028,23.779157834000216,121.83372538365555,14.005696458621053,5466587136,5466406912,288.0,4789.19,32.78,1578598400,-1441792,0,0,0,0,0.6530104160001429
